,condition,id,delete,description,set_size,enrichment_score,nes,pvalue,p_adjust,qvalue,gsea_enrichment,rank,leading_edge,core_enrichment
1,"BBIBP (V3, D14)",CD4+ cytotoxic T1 cell,CD4+ cytotoxic T1 cell...1,CD4+ cytotoxic T1 cell,1,-0.9811320755,-1.286722123,0.08280254777,0.1242038217,0.1242038217,CellMarker,3,"tags=100%, list=6%, signal=96%",
2,"BBIBP (V3, D14)",Monocyte,Monocyte...2,Monocyte,1,-0.9811320755,-1.286722123,0.08280254777,0.1242038217,0.1242038217,CellMarker,3,"tags=100%, list=6%, signal=96%",
3,"BBIBP (V3, D14)",Monocyte precursor,Monocyte precursor...3,Monocyte precursor,1,-0.9811320755,-1.286722123,0.08280254777,0.1242038217,0.1242038217,CellMarker,3,"tags=100%, list=6%, signal=96%",
4,"BBIBP (V3, D14)",Natural killer cell,Natural killer cell...4,Natural killer cell,1,-0.9811320755,-1.286722123,0.08280254777,0.1242038217,0.1242038217,CellMarker,3,"tags=100%, list=6%, signal=96%",
5,"BNT (V2, D1)",TCR REPERTOIRE,TCR REPERTOIRE...5,TCR REPERTOIRE,72,-0.7195190825,-3.075959667,1.00E-10,4.67E-10,2.46E-10,ImmuneGO,2082,"tags=96%, list=26%, signal=71%",TRBV18/TRAV14DV4/TRBJ1-3/TRAV12-1/TRAV13-1/TRAV21/TRAV41/TRAV12-3/TRGC1/TRBV2/TRAV8-3/TRAV9-2/TRBV3-1/TRBV27/TRBV11-2/TRAV8-1/TRBV24-1/TRAV8-2/TRAV2/TRAV26-1/TRAV4/TRAV12-2/TRBC2/TRAV26-2/TRBV6-2/TRAV6/TRAV10/TRBV5-1/TRBV4-1/TRBV6-5/TRBV7-2/TRAV17/TRAV3/TRAV25/TRAV23DV6/TRDC/TRAV13-2/TRAV22/TRAV1-1/TRBV13/TRBV19/TRBV7-6/TRBJ1-4/TRBJ2-4/TRBV9/TRBJ2-1/TRBV4-2/TRAV24/TRAV20/TRAV8-6/TRAJ31/TRBV5-5/TRBV5-6/TRAV27/TRAV35/TRBJ1-5/TRAV16/TRAV39/TRAV5/TRBV11-1/TRBV10-3/TRBJ2-3/TRAV18/TRAV1-2/TRAV38-2DV8/TRAJ42/TRBD1/TRBV12-5/TRBV7-7
6,"BNT (V2, D1)",ANTIVIRAL AND INTERFERON,ANTIVIRAL AND INTERFERON...6,ANTIVIRAL AND INTERFERON,53,0.760268201,2.736946775,1.00E-10,4.67E-10,2.46E-10,ImmuneGO,674,"tags=43%, list=9%, signal=40%",ACOD1/CCL8/GBP6/GBP1/CCL2/GBP7/IFIT1/IFITM3/MX1/IFIT2/OAS2/STAT1/RIGI/STAT2/IFI27/GBP2/EIF2AK2/IRF1/IFITM1/CASP1/LGALS9/SP100/HLA-DPA1
7,"BNT (V2, D1)",INNATE IMMUNE SYSTEM,INNATE IMMUNE SYSTEM...7,INNATE IMMUNE SYSTEM,240,0.5750157427,2.597185545,1.00E-10,4.67E-10,2.46E-10,ImmuneGO,1563,"tags=45%, list=20%, signal=37%",ACOD1/BATF2/CCL8/GBP6/FCGR1A/GBP1/CXCL17/CXCL9/CCL2/GBP7/IFI6/IFIT1/IFITM3/MX1/IL31RA/IFIT2/IFI35/IL27/DDX60/OAS2/STAT1/TRIM22/RIGI/STAT2/CFB/IFI27/GCH1/PARP9/PML/GBP2/EIF2AK2/TAP1/CLEC6A/EDNRB/TAP2/BST2/IRF1/TRIM21/IFITM1/APOBEC3A/PIK3AP1/PSME1/IL15/CASP1/MX2/LGALS9/IL1RN/PSMB8/IFI30/CCR1/TICAM2/NLRC5/ANXA3/SCIMP/RNASE2/PDE4B/CASP4/SP100/ADAR/NCF1/HLA-DPA1/LACC1/FCER1G/HLA-DMB/CGAS/SERPINB9/CD40/HLA-DMA/ERAP2/GSDMD/SRC/APOBEC3F/FCGR3A/ZC3HAV1/CD68/IL17RC/NFKBIA/CIITA/HLA-F/MILR1/B2M/TRIM26/RNF19B/HLA-C/CD46/HDAC4/IL12RB1/UBA7/AIF1/CCR2/CTSE/RELB/PDIA3/GRN/LTBR/XIAP/CD1D/CTSS/TNFAIP3/FCGR2B/TMEM229B/LIPA/PRKCD/PTPN6/KIF5B/DOCK8/CTSH/LILRA5
8,"BNT (V2, D1)",ARPP,ARPP...8,ARPP,59,0.6140908211,2.260732592,6.53E-07,2.29E-06,1.20E-06,ImmuneGO,1917,"tags=68%, list=24%, signal=52%",FCGR1A/RIGI/TAP1/CLEC6A/TAP2/PIK3AP1/PSME1/CASP1/PSMB8/IFI30/TICAM2/SCIMP/HLA-DPA1/LACC1/FCER1G/HLA-DMB/CGAS/CD40/HLA-DMA/ERAP2/SRC/NFKBIA/HLA-F/B2M/HLA-C/CTSE/RELB/PDIA3/XIAP/CD1D/CTSS/TNFAIP3/FCGR2B/CTSH/BTK/HLA-E/TICAM1/RAB10/TLR4/CALR
9,"BNT (V2, D1)",MACROPHAGES,MACROPHAGES...9,MACROPHAGES,15,0.6780348559,1.847983654,0.00458067603,0.01282589288,0.006750469939,ImmuneGO,220,"tags=27%, list=3%, signal=26%",CXCL17/CCL2/IFI35/EDNRB
10,"BNT (V2, D1)",ADAPTIVE IMMUNE SYSTEM,ADAPTIVE IMMUNE SYSTEM...10,ADAPTIVE IMMUNE SYSTEM,213,0.3379306284,1.506950479,0.006373609354,0.01487175516,0.007827239558,ImmuneGO,1926,"tags=35%, list=24%, signal=27%",IDO1/ACOD1/CCL8/CCL2/TAP1/CLEC6A/CD276/TAP2/BST2/FAS/IRF1/CLEC4G/LILRB4/IL15/LILRB1/CD38/MDK/BMX/PDE4B/ADAR/HLA-DPA1/PSMB10/FCER1G/HLA-DMB/CD40/HLA-DMA/ERAP2/SRC/LIMK1/CD86/NFKBIA/GAPT/B2M/EPHB2/RNF19B/HLA-C/BTN3A2/CD46/HDAC4/CCR2/RELB/LILRB2/FUT4/CD1D/CTSS/TNFAIP3/FCGR2B/LIPA/PRKCD/DENND1B/PTPN6/SKIL/DOCK8/CTSH/BTK/LCP1/BTN2A1/HLA-E/TNFAIP8L2/STAT3/IL2RG/MNDA/LMO4/THEMIS2/TICAM1/BCL3/FGR/CSF2RB/MAP3K8/HHEX/BCL6/TLR4/LILRA6/ITGA4
11,"BNT (V2, D1)",BCR REPERTOIRE,BCR REPERTOIRE...11,BCR REPERTOIRE,2,-0.9066860869,-1.444550063,0.01788793168,0.03577586336,0.01882940177,ImmuneGO,109,"tags=100%, list=1%, signal=99%",IGLV3-12
12,"BNT (V2, D1)",DENDRITIC CELLS,DENDRITIC CELLS...12,DENDRITIC CELLS,14,0.5465611633,1.451797353,0.08586762075,0.1502683363,0.07908859806,ImmuneGO,1552,"tags=43%, list=20%, signal=35%",BATF2/CCR1/CCR2/RELB/LTBR/DOCK8
