Study,Parameter,Category,Sub-category,Value
GSE189039,Sex,Male,,34
GSE189039,Sex,Female,,66
GSE189039,Age,Mean,,38
GSE206023,Sex,Male,,50
GSE206023,Sex,Female,,50
GSE206023,Age,Mean,,38
GSE199750,Sex,Male,,30
GSE199750,Sex,Female,,70
GSE199750,Age,Mean,,39
GSE201533,Sex,Male,,10
GSE201533,Sex,Female,,90
GSE201533,Age,Mean,,35
GSE201530,Sex,Male,,33
GSE201530,Sex,Female,,66
GSE201530,Age,Mean,,38
GSE206023,Age,Min,,9
GSE206023,Age,Median,,38
GSE206023,Age,Max,,83
GSE189039,Age,Min,,17
GSE189039,Age,Median,,38
GSE189039,Age,Max,,93
GSE199750,Age,Min,,19
GSE199750,Age,Median,,39
GSE199750,Age,Max,,69
GSE201533,Age,Min,,29
GSE201533,Age,Median,,35
GSE201533,Age,Max,,63
GSE201530,Age,Min,,19
GSE201530,Age,Median,,38
GSE201530,Age,Max,,82
GSE189039,Age,Individual,,50
GSE189039,Age,Individual,,27
GSE189039,Age,Individual,,80
GSE189039,Age,Individual,,36
GSE189039,Age,Individual,,83
GSE189039,Age,Individual,,30
GSE189039,Age,Individual,,59
GSE189039,Age,Individual,,17
GSE189039,Age,Individual,,35
GSE189039,Age,Individual,,20
GSE189039,Age,Individual,,57
GSE189039,Age,Individual,,39
GSE189039,Age,Individual,,30
GSE199750,Age,Individual,,69
GSE199750,Age,Individual,,68
GSE199750,Age,Individual,,68
GSE199750,Age,Individual,,64
GSE199750,Age,Individual,,63
GSE199750,Age,Individual,,63
GSE199750,Age,Individual,,61
GSE199750,Age,Individual,,60
GSE199750,Age,Individual,,60
GSE199750,Age,Individual,,60
GSE199750,Age,Individual,,60
GSE199750,Age,Individual,,60
GSE199750,Age,Individual,,60
GSE199750,Age,Individual,,60
GSE199750,Age,Individual,,59
GSE199750,Age,Individual,,59
GSE199750,Age,Individual,,59
GSE199750,Age,Individual,,59
GSE199750,Age,Individual,,59
GSE199750,Age,Individual,,59
GSE199750,Age,Individual,,59
GSE199750,Age,Individual,,59
GSE199750,Age,Individual,,59
GSE199750,Age,Individual,,58
GSE199750,Age,Individual,,58
GSE199750,Age,Individual,,58
GSE199750,Age,Individual,,58
GSE199750,Age,Individual,,57
GSE199750,Age,Individual,,57
GSE199750,Age,Individual,,57
GSE199750,Age,Individual,,57
GSE199750,Age,Individual,,55
GSE199750,Age,Individual,,54
GSE199750,Age,Individual,,54
GSE199750,Age,Individual,,53
GSE199750,Age,Individual,,53
GSE199750,Age,Individual,,53
GSE199750,Age,Individual,,52
GSE199750,Age,Individual,,52
GSE199750,Age,Individual,,49
GSE199750,Age,Individual,,49
GSE199750,Age,Individual,,49
GSE199750,Age,Individual,,49
GSE199750,Age,Individual,,49
GSE199750,Age,Individual,,49
GSE199750,Age,Individual,,49
GSE199750,Age,Individual,,49
GSE199750,Age,Individual,,48
GSE199750,Age,Individual,,48
GSE199750,Age,Individual,,48
GSE199750,Age,Individual,,46
GSE199750,Age,Individual,,46
GSE199750,Age,Individual,,46
GSE199750,Age,Individual,,46
GSE199750,Age,Individual,,46
GSE199750,Age,Individual,,46
GSE199750,Age,Individual,,46
GSE199750,Age,Individual,,46
GSE199750,Age,Individual,,46
GSE199750,Age,Individual,,46
GSE199750,Age,Individual,,45
GSE199750,Age,Individual,,45
GSE199750,Age,Individual,,44
GSE199750,Age,Individual,,44
GSE199750,Age,Individual,,44
GSE199750,Age,Individual,,44
GSE199750,Age,Individual,,44
GSE199750,Age,Individual,,44
GSE199750,Age,Individual,,44
GSE199750,Age,Individual,,44
GSE199750,Age,Individual,,43
GSE199750,Age,Individual,,43
GSE199750,Age,Individual,,43
GSE199750,Age,Individual,,43
GSE199750,Age,Individual,,43
GSE199750,Age,Individual,,43
GSE199750,Age,Individual,,43
GSE199750,Age,Individual,,42
GSE199750,Age,Individual,,42
GSE199750,Age,Individual,,42
GSE199750,Age,Individual,,42
GSE199750,Age,Individual,,42
GSE199750,Age,Individual,,42
GSE199750,Age,Individual,,42
GSE199750,Age,Individual,,42
GSE199750,Age,Individual,,42
GSE199750,Age,Individual,,40
GSE199750,Age,Individual,,40
GSE199750,Age,Individual,,40
GSE199750,Age,Individual,,40
GSE199750,Age,Individual,,40
GSE199750,Age,Individual,,40
GSE199750,Age,Individual,,40
GSE199750,Age,Individual,,40
GSE199750,Age,Individual,,39
GSE199750,Age,Individual,,39
GSE199750,Age,Individual,,38
GSE199750,Age,Individual,,38
GSE199750,Age,Individual,,38
GSE199750,Age,Individual,,38
GSE199750,Age,Individual,,38
GSE199750,Age,Individual,,38
GSE199750,Age,Individual,,38
GSE199750,Age,Individual,,38
GSE199750,Age,Individual,,38
GSE199750,Age,Individual,,38
GSE199750,Age,Individual,,38
GSE199750,Age,Individual,,38
GSE199750,Age,Individual,,37
GSE199750,Age,Individual,,37
GSE199750,Age,Individual,,37
GSE199750,Age,Individual,,37
GSE199750,Age,Individual,,37
GSE199750,Age,Individual,,37
GSE199750,Age,Individual,,37
GSE199750,Age,Individual,,37
GSE199750,Age,Individual,,37
GSE199750,Age,Individual,,37
GSE199750,Age,Individual,,37
GSE199750,Age,Individual,,37
GSE199750,Age,Individual,,37
GSE199750,Age,Individual,,37
GSE199750,Age,Individual,,36
GSE199750,Age,Individual,,36
GSE199750,Age,Individual,,36
GSE199750,Age,Individual,,36
GSE199750,Age,Individual,,36
GSE199750,Age,Individual,,36
GSE199750,Age,Individual,,36
GSE199750,Age,Individual,,36
GSE199750,Age,Individual,,36
GSE199750,Age,Individual,,35
GSE199750,Age,Individual,,35
GSE199750,Age,Individual,,35
GSE199750,Age,Individual,,35
GSE199750,Age,Individual,,35
GSE199750,Age,Individual,,35
GSE199750,Age,Individual,,35
GSE199750,Age,Individual,,35
GSE199750,Age,Individual,,34
GSE199750,Age,Individual,,34
GSE199750,Age,Individual,,34
GSE199750,Age,Individual,,34
GSE199750,Age,Individual,,34
GSE199750,Age,Individual,,34
GSE199750,Age,Individual,,34
GSE199750,Age,Individual,,34
GSE199750,Age,Individual,,34
GSE199750,Age,Individual,,34
GSE199750,Age,Individual,,34
GSE199750,Age,Individual,,34
GSE199750,Age,Individual,,33
GSE199750,Age,Individual,,33
GSE199750,Age,Individual,,33
GSE199750,Age,Individual,,33
GSE199750,Age,Individual,,33
GSE199750,Age,Individual,,33
GSE199750,Age,Individual,,33
GSE199750,Age,Individual,,33
GSE199750,Age,Individual,,32
GSE199750,Age,Individual,,32
GSE199750,Age,Individual,,32
GSE199750,Age,Individual,,32
GSE199750,Age,Individual,,32
GSE199750,Age,Individual,,32
GSE199750,Age,Individual,,32
GSE199750,Age,Individual,,32
GSE199750,Age,Individual,,32
GSE199750,Age,Individual,,32
GSE199750,Age,Individual,,32
GSE199750,Age,Individual,,32
GSE199750,Age,Individual,,32
GSE199750,Age,Individual,,32
GSE199750,Age,Individual,,32
GSE199750,Age,Individual,,32
GSE199750,Age,Individual,,31
GSE199750,Age,Individual,,31
GSE199750,Age,Individual,,31
GSE199750,Age,Individual,,31
GSE199750,Age,Individual,,31
GSE199750,Age,Individual,,31
GSE199750,Age,Individual,,30
GSE199750,Age,Individual,,30
GSE199750,Age,Individual,,30
GSE199750,Age,Individual,,30
GSE199750,Age,Individual,,30
GSE199750,Age,Individual,,29
GSE199750,Age,Individual,,29
GSE199750,Age,Individual,,29
GSE199750,Age,Individual,,29
GSE199750,Age,Individual,,29
GSE199750,Age,Individual,,29
GSE199750,Age,Individual,,29
GSE199750,Age,Individual,,29
GSE199750,Age,Individual,,29
GSE199750,Age,Individual,,29
GSE199750,Age,Individual,,29
GSE199750,Age,Individual,,29
GSE199750,Age,Individual,,29
GSE199750,Age,Individual,,28
GSE199750,Age,Individual,,28
GSE199750,Age,Individual,,28
GSE199750,Age,Individual,,28
GSE199750,Age,Individual,,28
GSE199750,Age,Individual,,28
GSE199750,Age,Individual,,28
GSE199750,Age,Individual,,28
GSE199750,Age,Individual,,28
GSE199750,Age,Individual,,28
GSE199750,Age,Individual,,28
GSE199750,Age,Individual,,27
GSE199750,Age,Individual,,27
GSE199750,Age,Individual,,27
GSE199750,Age,Individual,,27
GSE199750,Age,Individual,,27
GSE199750,Age,Individual,,27
GSE199750,Age,Individual,,27
