"","genes","infection_vaccination","n_conditions","gene_set_short","process","comparison"
"1","ACE","Infection",7,"APP, MHC I, Peptide antigen","ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN VIA MHC CLASS I","Infection only"
"2","ACE","Infection",7,"Antigen recognition processing and presentation","ARPP","Infection only"
"3","ACE","Infection",7,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"4","ACE","Infection",7,"Neutrophil","NEUTROPHIL","Infection only"
"5","ACE","Infection",7,"Immunity, Neutrophil","NEUTROPHIL MEDIATED IMMUNITY","Infection only"
"6","ACKR3","Infection",3,"Immune response","IMMUNE RESPONSE","Infection only"
"7","ACTG1","Infection",2,"Antiviral and inteferon","ANTIVIRAL AND INTERFERON","Infection only"
"8","ACTG1","Infection",2,"Cellular response to Interferon II","CELLULAR RESPONSE TO TYPE II INTERFERON","Infection only"
"9","ACTG1","Infection",2,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"10","ACTR3","Infection",4,"Antiviral and inteferon","ANTIVIRAL AND INTERFERON","Infection only"
"11","ACTR3","Infection",4,"Cellular response to Interferon II","CELLULAR RESPONSE TO TYPE II INTERFERON","Infection only"
"12","ACTR3","Infection",4,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"13","ADA","Infection",2,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"14","ADA","Infection",2,"Differentiation, abT cell","ALPHA-BETA T CELL DIFFERENTIATION","Infection only"
"15","ADA","Infection",2,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Infection only"
"16","ADA","Infection",2,"Activation, T cell","T CELL ACTIVATION","Infection only"
"17","ADA","Infection",2,"T cells","T CELLS","Infection only"
"18","ADAM17","Infection",5,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"19","ADAM17","Infection",5,"Differentiation, B cell","B CELL DIFFERENTIATION","Infection only"
"20","ADAM17","Infection",5,"B cells","B CELLS","Infection only"
"21","ADAM17","Infection",5,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Infection only"
"22","ADAM17","Infection",5,"Formation, Germinal center","GERMINAL CENTER FORMATION","Infection only"
"23","ADAM17","Infection",5,"Humoral adaptive immune system","HUMORAL ADAPTIVE IMMUNE SYSTEM","Infection only"
"24","ADAM17","Infection",5,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"25","ADAM17","Infection",5,"Neutrophil","NEUTROPHIL","Infection only"
"26","ADAM17","Infection",5,"Immunity, Neutrophil","NEUTROPHIL MEDIATED IMMUNITY","Infection only"
"27","ADAM17","Infection",5,"Development, Spleen","SPLEEN DEVELOPMENT","Infection only"
"28","ADAM17","Infection",5,"Differentiation, T cell, Thymus","T CELL DIFFERENTIATION IN THYMUS","Infection only"
"29","ADAM17","Infection",5,"T cells","T CELLS","Infection only"
"30","ADAM8","Infection",1,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"31","ADAM8","Infection",1,"Migration, Inflammatory response, Leukocyte","LEUKOCYTE MIGRATION INVOLVED IN INFLAMMATORY RESPONSE","Infection only"
"32","ADAM8","Infection",1,"Chemotaxis, Lymphocyte","LYMPHOCYTE CHEMOTAXIS","Infection only"
"33","ADAMTS13","Infection",3,"Antiviral and inteferon","ANTIVIRAL AND INTERFERON","Infection only"
"34","ADAMTS13","Infection",3,"Cellular response to Interferon II","CELLULAR RESPONSE TO TYPE II INTERFERON","Infection only"
"35","ADAMTS13","Infection",3,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"36","ADAMTS13","Infection",3,"Response to Interferon II","RESPONSE TO TYPE II INTERFERON","Infection only"
"37","ADAR","Infection",2,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"38","ADAR","Infection",2,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"39","ADAR","Infection",2,"Innate immune response","INNATE IMMUNE RESPONSE","Infection only"
"40","ADAR","Infection",2,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"41","ADAR","Infection",2,"Somatic mutation, Immune receptors","SOMATIC DIVERSIFICATION OF IMMUNE RECEPTORS VIA SOMATIC MUTATION","Infection only"
"42","ADARB1","Infection",5,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"43","ADARB1","Infection",5,"Innate immune response","INNATE IMMUNE RESPONSE","Infection only"
"44","ADARB1","Infection",5,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"45","ADD2","Infection",9,"Migration, Leukocyte","LEUKOCYTE MIGRATION","Infection only"
"46","ADD2","Infection",9,"Tethering or roling, Leukocyte","LEUKOCYTE TETHERING OR ROLLING","Infection only"
"47","ADGRE5","Infection",1,"Immune response","IMMUNE RESPONSE","Infection only"
"48","ADGRG3","Infection",6,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"49","ADGRG3","Infection",6,"Differentiation, B cell","B CELL DIFFERENTIATION","Infection only"
"50","ADGRG3","Infection",6,"B cells","B CELLS","Infection only"
"51","ADM","Infection",6,"Antibacterial humoral response","ANTIBACTERIAL HUMORAL RESPONSE","Infection only"
"52","ADM","Infection",6,"Antimicrobial peptide-mediated immune response","ANTIMICROBIAL HUMORAL IMMUNE RESPONSE MEDIATED BY ANTIMICROBIAL PEPTIDE","Infection only"
"53","ADORA1","Infection",2,"Migration, Leukocyte","LEUKOCYTE MIGRATION","Infection only"
"54","AIF1","Infection",1,"Antiviral and inteferon","ANTIVIRAL AND INTERFERON","Infection only"
"55","AIF1","Infection",1,"Cellular response to Interferon II","CELLULAR RESPONSE TO TYPE II INTERFERON","Infection only"
"56","AIF1","Infection",1,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"57","AIF1","Infection",1,"Activation, Microglial cell","MICROGLIAL CELL ACTIVATION","Infection only"
"58","AKT1","Infection",1,"Cell death, Activation-induced, T cell","ACTIVATION-INDUCED CELL DEATH OF T CELLS","Infection only"
"59","AKT1","Infection",1,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"60","AKT1","Infection",1,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Infection only"
"61","AKT1","Infection",1,"Costimulation, T cell","T CELL COSTIMULATION","Infection only"
"62","AKT1","Infection",1,"T cells","T CELLS","Infection only"
"63","ALOX5","Infection",6,"Migration, Dendritic cell","DENDRITIC CELL MIGRATION","Infection only"
"64","ALOX5","Infection",6,"Dendritic cells","DENDRITIC CELLS","Infection only"
"65","ALOX5","Infection",6,"Humoral immune response","HUMORAL IMMUNE RESPONSE","Infection only"
"66","ALOX5","Infection",6,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"67","ALOX5","Infection",6,"Chemotaxis, Inflammatory response, Leukocyte","LEUKOCYTE CHEMOTAXIS INVOLVED IN INFLAMMATORY RESPONSE","Infection only"
"68","ALOX5","Infection",6,"Migration, Inflammatory response, Leukocyte","LEUKOCYTE MIGRATION INVOLVED IN INFLAMMATORY RESPONSE","Infection only"
"69","ANKHD1","Infection",12,"Innate immune response","INNATE IMMUNE RESPONSE","Infection only"
"70","ANKHD1","Infection",12,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"71","ANXA3","Infection",9,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
"72","ANXA3","Infection",9,"Neutrophil","NEUTROPHIL","Infection only"
"73","ANXA3","Infection",9,"Degranulation, Neutrophil","NEUTROPHIL DEGRANULATION","Infection only"
"74","APBB1IP","Infection",3,"Adaptive immune system","ADAPTIVE IMMUNE SYSTEM","Infection only"
"75","APBB1IP","Infection",3,"Cellular adaptive immune system","CELLULAR ADAPTIVE IMMUNE SYSTEM","Infection only"
"76","APBB1IP","Infection",3,NA,"T CELL ACTIVATION VIA T CELL RECEPTOR CONTACT WITH ANTIGEN BOUND TO MHC MOLECULE ON ANTIGEN PRESENTING CELL","Infection only"
"77","APBB1IP","Infection",3,"T cells","T CELLS","Infection only"
"78","APOBEC3A","Infection",7,"Immune system, Process","IMMUNE SYSTEM PROCESS","Infection only"
"79","APOBEC3A","Infection",7,"Innate immune response","INNATE IMMUNE RESPONSE","Infection only"
"80","APOBEC3A","Infection",7,"Innate immune system","INNATE IMMUNE SYSTEM","Infection only"
