"","vaccine","study","gse_id","genes","process","gene_set_short","immune_system","immune_sub_system","immune_tissue","go_term","set_size","base_mean","l2fc","lfcse","stat","pvalue","padj","direction","filter"
"1","BNT","BNT (V2, D1)","GSE199750","ABL1","HUMORAL ADAPTIVE IMMUNE SYSTEM","Humoral adaptive immune system","Adaptive","Humoral","General",NA,143,425.504083215491,-0.127236930178523,0.0354890018259362,-3.58524961627788,0.00033675595481541,0.00175875099029508,"NEUTRAL","p<0.05"
"2","BNT","BNT (V2, D1)","GSE199750","ABL1","DN4 THYMOCYTE DIFFERENTIATION","Differentiation , DN4 thymocyte","Adaptive","Cellular","T cell","GO:1904157",1,425.504083215491,-0.127236930178523,0.0354890018259362,-3.58524961627788,0.00033675595481541,0.00175875099029508,"NEUTRAL","p<0.05"
"3","ChAd","ChAd-BNT (V2, D7)","GSE201533","ABL1","SPLEEN DEVELOPMENT","Development, Spleen","Adaptive","Humoral","Spleen","GO:0048536",17,3058.78261501177,-0.187234788790082,0.0646214689310539,-2.89740842923033,0.00376259561310808,0.0179890042313002,"NEUTRAL","p<0.05"
"4","BNT","BNT (V2, D1)","GSE199750","ABL1","B CELL RECEPTOR SIGNALING PATHWAY","Signaling, BCR, B cell","Adaptive","B cell","B cell","GO:0050853",31,425.504083215491,-0.127236930178523,0.0354890018259362,-3.58524961627788,0.00033675595481541,0.00175875099029508,"NEUTRAL","p<0.05"
"5","BNT","BNT (V2, D1)","GSE199750","ABL1","B CELL PROLIFERATION INVOLVED IN IMMUNE RESPONSE","Proliferation, Immune response, B cell","Adaptive","B cell","B cell","GO:0002322",4,425.504083215491,-0.127236930178523,0.0354890018259362,-3.58524961627788,0.00033675595481541,0.00175875099029508,"NEUTRAL","p<0.05"
"6","ChAd","ChAd-BNT (V2, D7)","GSE201533","ABL1","CELLULAR ADAPTIVE IMMUNE SYSTEM","Cellular adaptive immune system","Adaptive","Cellular","General",NA,384,3058.78261501177,-0.187234788790082,0.0646214689310539,-2.89740842923033,0.00376259561310808,0.0179890042313002,"NEUTRAL","p<0.05"
"7","ChAd","ChAd-BNT (V2, D7)","GSE201533","ABL1","T CELL RECEPTOR SIGNALING PATHWAY","Signaling, T cell","Adaptive","Cellular","T cell","GO:0050852",52,3058.78261501177,-0.187234788790082,0.0646214689310539,-2.89740842923033,0.00376259561310808,0.0179890042313002,"NEUTRAL","p<0.05"
"8","ChAd","ChAd-BNT (V2, D7)","GSE201533","ABL1","ALPHA-BETA T CELL DIFFERENTIATION","Differentiation, abT cell","Adaptive","Cellular","T cell","GO:0046632",6,3058.78261501177,-0.187234788790082,0.0646214689310539,-2.89740842923033,0.00376259561310808,0.0179890042313002,"NEUTRAL","p<0.05"
"9","ChAd","ChAd-BNT (V2, D7)","GSE201533","ABL1","B CELL PROLIFERATION","Proliferation, B cell","Adaptive","B cell","B cell","GO:0042100",26,3058.78261501177,-0.187234788790082,0.0646214689310539,-2.89740842923033,0.00376259561310808,0.0179890042313002,"NEUTRAL","p<0.05"
"10","ChAd","ChAd-BNT (V2, D7)","GSE201533","ABL1","DN4 THYMOCYTE DIFFERENTIATION","Differentiation , DN4 thymocyte","Adaptive","Cellular","T cell","GO:1904157",1,3058.78261501177,-0.187234788790082,0.0646214689310539,-2.89740842923033,0.00376259561310808,0.0179890042313002,"NEUTRAL","p<0.05"
