genes,importance
NCF2,0.02428514655535741
GZMM,0.02392838821223365
ITGAM,0.021520433099781557
GPR89B,0.017472291419428854
STXBP4,0.01602994108570775
SARM1,0.014619706902978617
CD3G,0.014344781014129572
LGALS3,0.012522464087709875
CXCR3,0.012014328879029292
IL18RAP,0.011410362592866968
