"","genes","process","gene_set_short","go_term","immune_system","immune_sub_system","immune_tissue","set_size"
"1","IL13,HAMP,CRTC3,JMJD6,FCGR3A,TMEM229B,SLC11A1,ADGRF5,TLR4,EDN2,TICAM1,IFI35,IL33,PRKCE,SYK,LBP,PLCG2,SFTPD,CCL2,LGALS3,AZU1,EDNRB,EDN2,RPL13A,CXCL17,CCL5,SAA1,CCL3,MMP2,LIPA,CSF1,ROR2,MCOLN2,BCR,CCR2,B4GALT1","MACROPHAGES","Macrophages","Manual","Innate","APC","Macrophages",NA
"2","ABL1,STAT5B,IL2","ACTIVATED T CELL PROLIFERATION","Proliferation, T cell, Activated","GO:0050798","Adaptive","Cellular","T cell",3
"3","HMSD","ACTIVATION OF IMMUNE RESPONSE","Activation, Immune response","GO:0002253","General","Immune","Undefined",1
"4","STING1,MAVS,NLRP10,XRCC5,MNDA,CGAS,TLR4,CASP6,XRCC6,SFPQ,PYHIN1,MATR3,HEXIM1,GBP2,PRKDC,HMGB1","ACTIVATION OF INNATE IMMUNE RESPONSE","Activation, Innate immune response","GO:0002218","Innate","General","Undefined",16
"5","FAS,RPS6,AKT1","ACTIVATION-INDUCED CELL DEATH OF T CELLS","Cell death, Activation-induced, T cell","GO:0006924","Adaptive","Cellular","T cell",3
"6","NLRP6,ELANE,IL31RA,CD6,CXCR2","ACUTE INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS","Acute inflammatory response to antigenic stimulus","GO:0002438","Innate","Inflammation","Undefined",5
"7","TAP2,HLA-DOB,FBXO38,P0DOX7,MYO1G,BTN3A2,HLA-E,CD19,OTUD7B,HLA-C,CLEC6A,CD1B,LILRB2,RAG1,JAK3,EOMES,THEMIS,HLA-DMB,CD1C,NLRP10,P0DOX6,LAG3,HLA-DRB3,P0DOX8,SYK,CTSS,RAPGEF3,CSK,CD247,ITK,CX3CR1,LILRA6,BCL10,BTLA,LILRB4,VTCN1,KLRC1,TEC,KLRC2,RAP1GAP2,ZNF683,TAP1,C17orf99,CD3G,CD8B,LAIR1,RAP1GAP,CD7,ARG2,ZAP70,CD160,CTSH,ERAP2,BTK,MCOLN2,LILRA3,GPR183,RNF19B,CD1E,P0DOX5,BTNL8,CD6,HLA-DRB4,IFNA8,CTLA4,LILRB1,BMX,CD46,IL2,TXK,P0DOX2,HMGB1,LAX1,CD79B,CD8B2,CLEC10A,CD86,TFEB,C1QBP,HLA-DPA1,TARM1,P0DOX4,HMHB1,CD81,HLA-DMA,CRTAM,SKAP1,PIK3CG,KLRK1,P0DOX3,FGL1,TFE3,IFNE,CD79A,TNFRSF17","ADAPTIVE IMMUNE RESPONSE","Adaptive Immune response","GO:0002250","Adaptive","General","Lymphocyte",330
"8","RHOA,GPR183,BTK,CH25H,BAX,CD19,BRAF,CDH26,CD81,TOX,EOMES,KLRC1,RAB27A,ABL1,IL15,FCER1G,CCL2,YY1,HSPD1,IL2RG,ST3GAL1,TNFSF4,ITGAL,DOCK8,THEMIS,HLA-G,CCR7,LRRC8A,CD28,ADAR,MYO1G,CD1D,CCR2,ZFPM1,LILRB4,PSG9,FCER1A,CLEC4G,PTPRC,RAG2,TNFAIP3,CD83,PRKCQ,FUT7,HLA-E,WDFY4,BCL2,CRKL,CRK,WNT4,BCL6,STAT6,GATA3,SPNS2,LGALS1,RAG1,SPI1,MLH1,MSH2,APBB1IP,XG,CD99,LIG4,PRKDC,RC3H1,HMGB1,CEBPB,RORC,RORA,CCL20,CORO1A,ACOD1,STAT5B,IL2,FAS,RPS6,AKT1,CD247,CD3G,ZAP70,SYK,PSMB11,IRF1,TNFSF8,CRTAM,MYH9,CDH17,IRF8,BCL3,ZP3,TCF3,FUT4,ARTN,SHLD3,SHLD1,SHLD2,LILRB1,SLC11A1,RELB,IL4R,SPN,MTOR,STAT3,NOTCH1,PHB1,PTGER4,ATP7A,IL12B,ITPKB,CD40,CD70,TLR4,GAPT,FCGR2B,PLCG2,TCF7,LAX1,AXL,TYRO3,MERTK,LFNG,NOTCH2,C17orf99,IL7,IL6R,IL6ST,JAK1,IL10,IL33,LRRC17,ASXL1,LIPA,HOXB4,IRF2BP2,KIT,SYVN1,PTX3,SFTPA1,LBP,C4B,MBL2,SRF,UNG,MSH6,PMS2,IL18BP,HMGB2,RPL22,GLI3,ADA,MEF2C,UNC13D,ADAM17,NFKB2,CD6,MSN,PRF1,EPHB1,IMPDH2,HPRT1,FLT3,PURA,MSH3,ITK,CXADR,JAML,SOS1,TNFRSF17,SKIL,PACS1,SOS2,CXCL12,CCL3,DEFA4,SLC12A2,PIK3CG,DEFA1,MYB,MEN1,KMT2A,ERCC1,CD40LG,RNF168,SANBR,IFNE,MDK,F2RL1,LCP1,PSEN1,IFNA8,CD1C,CD46,JAG1,CR2,BTN3A2,GNL1,CR1,GPR15,S1PR1,ITGB7,GZMM,CTSH,TAP2,PPP3CB,EMP2,CTSC,IL7R,B2M,CAMLG,NCKAP1L,CASP3,LIMK1,VAV2,SRC,VAV1,PRKCE,HCK,PTK2,PRKCD,FGR,PLPP4,NKX2-5,EPB42,CDKN2B,PBX1,NKX3-2,NKX2-3,CACNB4,CCL18,CCL4,CCL7,XCL1,ADAM8,GPR15LG,CX3CL1,CCL4L1,CCL1,CCL3L1,SAA1,CCL8,CCL24,CCL5,CCL23,PPP2CA,CHST3,JAK3,ZC3H8,PPP2R1A,IL20RB,CCNB2,PRDX2,CD86,PTPN6,CAV1,PTPN11,DPP4,MAP3K8,KLRK1,CD160,CD24,CD80,PIK3CA,EFNB1,EFNB2,CSK,NKAP,CTNNB1,ZFP36L2,NCAPH2,ZFP36L1,CDK6,JMJD6,TESPA1,TICAM1,BANK1,CXCR5,TBC1D10C,CD79A,CHRNA4,CHRNA7,MS4A1,RASGRP1,CD22,CHRNB2,TXLNA,BST2,AKAP17A,EPHB2,HDAC4,MAP2K1,HAND2,MAP2K2,FOXI3,SOD1,TGFBR1,MAPK3,EPHB3,LMO4,MAPK1,TYR,IL9,CTPS1,CD38,FOSL2,WNT3A,PSMB10,FKBP1B,KITLG,LMBR1L,TNFRSF4,IDO1,CD151,SCGB1A1,CCND3,KDELR1,DTX1,SOX4,PTPN2,LEPR,GPR89A,LEP,EGR1,PKNOX1,PIK3R1,NRARP,SP3,GPR89B,BCAR1,CTLA4,CD79B,GRB2,MNDA,BMX,NFKBIA,TEC,NFAM1,NFKB1,WAS,RBX1,NCK1,SMAD3,PPP3CA,LAG3,NLRC3,FKBP1A,MFAP3,TNFAIP8L2,CD7,CD276,CD44,DCAF12,CD8B,DDOST,PAX5,TOP2B,ADGRG3,FZD9,EP300,PTPRJ,LYL1,CEBPG,ZBTB7A,ITGA4,IL11,TPD52,RBPJ,HHEX,VCAM1,SKAP1,THEMIS2,KHDRBS1,CACNB3,PDE4B,PDE4D,UBE2N,NFKBID,DENND1B,TXK,VTCN1,FYB2,BTNL8,BCL10,BTNL10P,ZNF683,PLCG1,EIF2B2,BTNL9,BTNL3,BTN2A1,HLA-DRB3,IL9R,MPL,IL2RB,CD27,CSF2RB,HLA-DOB,FBXO38,P0DOX7,OTUD7B,HLA-C,CLEC6A,CD1B,LILRB2,HLA-DMB,NLRP10,P0DOX6,P0DOX8,CTSS,RAPGEF3,CX3CR1,LILRA6,BTLA,KLRC2,RAP1GAP2,TAP1,LAIR1,RAP1GAP,ARG2,ERAP2,MCOLN2,LILRA3,RNF19B,CD1E,P0DOX5,HLA-DRB4,P0DOX2,CD8B2,CLEC10A,TFEB,C1QBP,HLA-DPA1,TARM1,P0DOX4,HMHB1,HLA-DMA,P0DOX3,FGL1,TFE3","ADAPTIVE IMMUNE SYSTEM","Adaptive immune system","Manual","Adaptive","General","General",676
"9","CD247,CD3G","ALPHA-BETA T CELL ACTIVATION","Activation, abT cell","GO:0046631","Adaptive","Cellular","T cell",3
"10","RPL22,BRAF,GLI3,ADA,ABL1,ZAP70","ALPHA-BETA T CELL DIFFERENTIATION","Differentiation, abT cell","GO:0046632","Adaptive","Cellular","T cell",6
