id,immune_system,immune_subsystem,cells,module_title,composite_name,module_size_4,module_category,annotation_level,web_link,module_member_genes,top_matched_pathway_in_kegg_pid_and_biocarta,jaccard_index_10,enrichment_p_value_11,pathway_size,overlap_size_13,top_matched_chaussabel_module,jaccard_index_15,enrichment_p_value_16,module_size_17,overlap_size_18,top_matched_transcription_factor,jaccard_index_20,enrichment_p_value_21,gene_set_size,overlap_size_23,top_matched_gene_ontology_terms_number_of_matched_genes
M5.1,Adaptive,Cellular,T cell,T cell activation and signaling,T cell activation and signaling (M5.1),25,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M5.1.htm,"CD52,CD4,CD247,CD2,CCR7,BIN2,HLA-DRA,IL12RB1,TRAT1,ZAP70,TRAF3IP3,HLA-DRB1,PRKAR1B,GIMAP6,TRA@,ITK,IL2RG,TRA@ /// TRAC,CD3E,TRA@ /// TRAC /// TRAJ17 /// TRAV20,PTPRC,PRKACB,CD3D,LCK,CD3G",BIOCARTA_CSK_PATHWAY,0.36,2.5099999999999995e-34,24,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (16), plasma membrane (16), T cell receptor signaling pathway (12)"
M7.0,Adaptive,Cellular,T cell,enriched in T cells (I),enriched in T cells (I) (M7.0),62,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M7.0.htm,"IL7R,KLRB1,CCL5,RASGRP1,TRA@,SH2D1A,TRAV20,BCL11B,CD6,CD7,TRBC1,CD2,LEF1,NKG7,UBASH3A,PTPRCAP,TRAC,TRD@,TRAT1,SLA2,RORA,MAL,EOMES,XCL2,XCL1,ETS1,ZAP70,SAMD3,SIT1,NLRC3,SIRPG,PRKCH,ICOS,CD28,TRAJ17,NELL2,GNLY,CD27,LAT,FLT3LG,PRF1,PRKCQ,GIMAP6,GIMAP7,GATA3,ITK,LCK,GZMA,GZMB,CD96,GZMM,GZMH,TIGIT,GZMK,ITM2A,CD247,GPR171,IL32,TARP,CD3D,CD3E,CD3G",NA,NA,NA,NA,NA,[Chaussabel.v2]M4.15,0.18,2.59e-31,42,16,NA,NA,NA,NA,NA,"protein binding (36), plasma membrane (28), integral to membrane (15)"
M7.1,Adaptive,Cellular,T cell,T cell activation (I),T cell activation (I) (M7.1),50,immune,partial,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M7.1.htm,"IL7R,RASGRP1,THEMIS,CCL5,TCF7,BCL11B,CD5,TIGIT,CD7,CD2,CCR7,CD247,MS4A1,PTPN22,TXK,TRBC1,IL12RB1,IKZF1,SLA2,CAMK4,RORA,EOMES,PRKCQ,ZAP70,SIT1,NLRC3,DPP4,SIRPG,PRKCH,ICOS,CD28,CD27,RHOH,CD8A,ITPR3,LEF1,CD8B,GATA3,CRTAM,ITK,TRAC,KLRK1,IL21R,LCK,CORO1A,SLAMF7,CD3D,CD3E,SLAMF1,CD3G",KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,0.09,1.23e-19,108,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (41), plasma membrane (31), cytoplasm (19)"
M7.3,Adaptive,Cellular,T cell,T cell activation (II),T cell activation (II) (M7.3),31,immune,partial,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M7.3.htm,"CCL5,SP140,TIGIT,CD247,CCR5,NLRC3,PTPRCAP,STAT4,IL12RB1,TRAT1,SLA2,CXCR3,ZAP70,NKG7,SIRPG,ICOS,IFNG,IL18R1,SLAMF7,PTPN7,ITK,CRTAM,GZMA,CD3E,GPR171,TRA@,TARP,CD3D,LCK,SLAMF1,CD3G",BIOCARTA_IL12_PATHWAY,0.26,6.980000000000001e-27,23,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (22), plasma membrane (21), integral to membrane (14)"
M7.4,Adaptive,Cellular,T cell,T cell activation (III),T cell activation (III) (M7.4),14,immune,partial,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M7.4.htm,"KLF12,RASGRP1,THEMIS,NELL2,CD96,CAMK4,RORA,LCK,ATP8B2,ETS1,ZMYND11,PRKCQ,LEF1,GLYR1 /// SEPT6",NA,NA,NA,NA,NA,[Chaussabel.v2]M4.15,0.1,3.7299999999999997e-11,42,5,ZIC1_01,0.02,1.14e-7,203,5,"protein binding (11), nucleus (8), cytoplasm (6)"
M12,Adaptive,Cellular,T cell,CD28 costimulation,CD28 costimulation (M12),10,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M12.htm,"CD28,CHST15,LIME1,SH2D1A,TRAT1,CD24,GRAP2,THEM4,LAT /// SPNS1,LCK",KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,0.03,1.3100000000000002e-5,108,3,NA,NA,NA,NA,NA,AML_Q6,0.01,8.730000000000001e-5,204,3,"plasma membrane (5), protein binding (4), cytosol (4)"
M14,Adaptive,Cellular,T cell,T cell differentiation,T cell differentiation (M14),12,immune,partial,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M14.htm,"UBASH3A,TCF7,CD28,TXK,ITK,NOG,LRRN3,BCL11B,RASGRP1,SPOCK2,SH2D1A,MAL",KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,0.03,2.3800000000000003e-5,108,3,[Chaussabel.v2]M4.1,0.11,4.45e-16,58,7,ER_Q6_01,0.02,3.16e-6,203,4,"protein binding (11), plasma membrane (4), cytosol (4)"
M18,Adaptive,Cellular,T cell,T cell differentiation via ITK and PKC,T cell differentiation via ITK and PKC (M18),11,immune,complete,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M18.htm,"SIRPG,PRKCH,ITK,SH2D1A,ITM2A,ETS1,FASLG,SPOCK2,PRKCQ,ABLIM1,BCL2",BIOCARTA_KERATINOCYTE_PATHWAY,0.1,1.39e-11,46,5,[Chaussabel.v2]M4.15,0.13,1.44e-14,42,6,AP4_Q6,0.02,7.31e-5,173,3,"protein binding (11), plasma membrane (5), cytoplasm (5)"
M19,Adaptive,Cellular,Th2,T cell differentiation (Th2),T cell differentiation (Th2) (M19),17,immune,partial,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M19.htm,"UBASH3A,CD28,LCK,TRAT1,PKIA,HNRPLL,GZMK,LAT,ITM2A,GRAP2,IL32,GPR171,SIT1,DPP4,GATA3,MAL,CD3G",KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,0.04,1.46e-8,108,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"protein binding (10), plasma membrane (8), membrane raft (5)"
M32.2,Adaptive,Cellular,T cell,CORO1A-DEF6 network (I),CORO1A-DEF6 network (I) (M32.2),20,immune,partial,http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M32.2.htm,"TGFB1,AES,FAM108A1,UBE2M,DEF6,H1FX,CCDC22,ACAP1,TECR,HGS,SIPA1,CORO1A,CLPTM1,TSC2,SH2B1,APEH,CBX4,STXBP2,BRD2,ATP5D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EGR_Q6,0.03,4.55e-10,212,7,"protein binding (13), cytoplasm (12), nucleus (9)"
