"","condition","genes"
"1","RVSV ZEBOV (D7)","CCL2"
"2","RVSV ZEBOV (D7)","IFIT1"
"3","RVSV ZEBOV (D7)","NFKB1"
"4","RVSV ZEBOV (D7)","NFKB2"
"5","LVS F TULARENSIS (H18)","B2M"
"6","LVS F TULARENSIS (H18)","CCL18"
"7","LVS F TULARENSIS (H18)","CCL20"
"8","LVS F TULARENSIS (H18)","CCR7"
"9","LVS F TULARENSIS (H18)","CD83"
"10","LVS F TULARENSIS (H18)","FCGR3A"
"11","LVS F TULARENSIS (H18)","IRAK1BP1"
"12","LVS F TULARENSIS (H18)","TAP2"
"13","LVS F TULARENSIS (H18)","TICAM1"
"14","LVS F TULARENSIS (H18)","CCR1"
"15","LVS F TULARENSIS (H18)","CCR2"
"16","LVS F TULARENSIS (H18)","CD1B"
"17","LVS F TULARENSIS (H18)","CD1C"
"18","LVS F TULARENSIS (H18)","CD1D"
"19","LVS F TULARENSIS (H18)","CD44"
"20","LVS F TULARENSIS (H18)","CD58"
"21","LVS F TULARENSIS (H18)","CD68"
"22","LVS F TULARENSIS (H18)","CD80"
"23","LVS F TULARENSIS (H18)","CD81"
"24","LVS F TULARENSIS (H18)","CD86"
"25","LVS F TULARENSIS (H18)","CDC42"
"26","LVS F TULARENSIS (H18)","FAS"
"27","LVS F TULARENSIS (H18)","FCER1A"
"28","LVS F TULARENSIS (H18)","FCER1G"
"29","LVS F TULARENSIS (H18)","FCGR1A"
"30","LVS F TULARENSIS (H18)","FCGR2A"
"31","LVS F TULARENSIS (H18)","FCGR2B"
"32","LVS F TULARENSIS (H18)","HLA-DMA"
"33","LVS F TULARENSIS (H18)","HLA-DMB"
"34","LVS F TULARENSIS (H18)","LILRB4"
"35","LVS F TULARENSIS (H18)","TAP1"
"36","LVS F TULARENSIS (H18)","TIRAP"
"37","LVS F TULARENSIS (H18)","TLR4"
"38","LVS F TULARENSIS (H192)","B2M"
"39","LVS F TULARENSIS (H192)","CCL18"
"40","LVS F TULARENSIS (H192)","CCL20"
"41","LVS F TULARENSIS (H192)","CCR1"
"42","LVS F TULARENSIS (H192)","CCR7"
"43","LVS F TULARENSIS (H192)","CD44"
"44","LVS F TULARENSIS (H192)","CD58"
"45","LVS F TULARENSIS (H192)","CD68"
"46","LVS F TULARENSIS (H192)","CD80"
"47","LVS F TULARENSIS (H192)","CD83"
"48","LVS F TULARENSIS (H192)","CDC42"
"49","LVS F TULARENSIS (H192)","FAS"
"50","LVS F TULARENSIS (H192)","FCER1A"
"51","LVS F TULARENSIS (H192)","FCER1G"
"52","LVS F TULARENSIS (H192)","FCGR2A"
"53","LVS F TULARENSIS (H192)","FCGR2B"
"54","LVS F TULARENSIS (H192)","FCGR3A"
"55","LVS F TULARENSIS (H192)","TAP2"
"56","LVS F TULARENSIS (H192)","TICAM1"
"57","LVS F TULARENSIS (H192)","CCR2"
"58","LVS F TULARENSIS (H192)","CD1B"
"59","LVS F TULARENSIS (H192)","CD1C"
"60","LVS F TULARENSIS (H192)","CD1D"
"61","LVS F TULARENSIS (H192)","CD81"
"62","LVS F TULARENSIS (H192)","CD86"
"63","LVS F TULARENSIS (H192)","FCGR1A"
"64","LVS F TULARENSIS (H192)","HLA-DMA"
"65","LVS F TULARENSIS (H192)","IRAK1BP1"
"66","LVS F TULARENSIS (H192)","LILRB4"
"67","LVS F TULARENSIS (H192)","TAP1"
"68","LVS F TULARENSIS (H192)","TIRAP"
"69","LVS F TULARENSIS (H192)","TLR4"
"70","LVS F TULARENSIS (H336)","B2M"
"71","LVS F TULARENSIS (H336)","CCL18"
"72","LVS F TULARENSIS (H336)","CCL20"
"73","LVS F TULARENSIS (H336)","CCR7"
"74","LVS F TULARENSIS (H336)","CD1B"
"75","LVS F TULARENSIS (H336)","CD44"
"76","LVS F TULARENSIS (H336)","CD58"
"77","LVS F TULARENSIS (H336)","CD68"
"78","LVS F TULARENSIS (H336)","CD80"
"79","LVS F TULARENSIS (H336)","CD81"
"80","LVS F TULARENSIS (H336)","CD83"
"81","LVS F TULARENSIS (H336)","FCGR2B"
"82","LVS F TULARENSIS (H336)","IRAK1BP1"
"83","LVS F TULARENSIS (H336)","TAP2"
"84","LVS F TULARENSIS (H336)","TICAM1"
