"process","genes","go_term","immune_system","immune_sub_system","gene_set_short","immune_tissue","set_size"
"ADAPTIVE IMMUNE SYSTEM","MAP2K2","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","FOXI3","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","SOD1","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","TGFBR1","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","MAPK3","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","EPHB3","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","LMO4","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","MAPK1","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","TYR","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","IL9","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","CTPS1","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","CD38","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","FOSL2","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","WNT3A","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","PSMB10","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","FKBP1B","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","KITLG","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","LMBR1L","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","TNFRSF4","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","IDO1","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","CD151","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","SCGB1A1","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","CCND3","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","KDELR1","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","DTX1","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","SOX4","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","PTPN2","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","LEPR","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","GPR89A","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","LEP","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","EGR1","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","PKNOX1","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","PIK3R1","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","NRARP","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","SP3","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","GPR89B","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","BCAR1","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","CTLA4","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","CD79B","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","GRB2","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","MNDA","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","BMX","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","NFKBIA","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","TEC","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","NFAM1","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","NFKB1","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","WAS","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","RBX1","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","NCK1","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","SMAD3","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","PPP3CA","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","LAG3","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","NLRC3","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","FKBP1A","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","MFAP3","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","TNFAIP8L2","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","CD7","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","CD276","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","CD44","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","DCAF12","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","CD8B","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","DDOST","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","PAX5","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","TOP2B","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","ADGRG3","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","FZD9","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","EP300","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","PTPRJ","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","LYL1","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","CEBPG","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","ZBTB7A","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","ITGA4","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","IL11","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","TPD52","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","RBPJ","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","HHEX","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","VCAM1","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","SKAP1","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","THEMIS2","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","KHDRBS1","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","CACNB3","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","PDE4B","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","PDE4D","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","UBE2N","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","NFKBID","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","DENND1B","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","TXK","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","VTCN1","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","FYB2","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","BTNL8","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","BCL10","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","BTNL10P","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","ZNF683","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","PLCG1","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","EIF2B2","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","BTNL9","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","BTNL3","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","BTN2A1","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","HLA-DRB3","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","IL9R","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","MPL","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","IL2RB","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","CD27","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","CSF2RB","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","HLA-DOB","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","FBXO38","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","P0DOX7","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","OTUD7B","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","HLA-C","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","CLEC6A","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","CD1B","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","LILRB2","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","HLA-DMB","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","NLRP10","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","P0DOX6","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","P0DOX8","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","CTSS","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","RAPGEF3","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","CX3CR1","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","LILRA6","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","BTLA","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","KLRC2","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","RAP1GAP2","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","TAP1","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","LAIR1","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","RAP1GAP","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","ARG2","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","ERAP2","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","MCOLN2","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","LILRA3","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","RNF19B","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","CD1E","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","P0DOX5","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","HLA-DRB4","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","P0DOX2","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","CD8B2","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","CLEC10A","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","TFEB","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","C1QBP","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","HLA-DPA1","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","TARM1","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","P0DOX4","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","HMHB1","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","HLA-DMA","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","P0DOX3","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","FGL1","Manual","Adaptive","General","Adaptive immune system","General",676
"ADAPTIVE IMMUNE SYSTEM","TFE3","Manual","Adaptive","General","Adaptive immune system","General",676
"ALPHA-BETA T CELL ACTIVATION","CD247","GO:0046631","Adaptive","Cellular","Activation, abT cell","T cell",3
"ALPHA-BETA T CELL ACTIVATION","CD3G","GO:0046631","Adaptive","Cellular","Activation, abT cell","T cell",3
"ALPHA-BETA T CELL DIFFERENTIATION","RPL22","GO:0046632","Adaptive","Cellular","Differentiation, abT cell","T cell",6
"ALPHA-BETA T CELL DIFFERENTIATION","BRAF","GO:0046632","Adaptive","Cellular","Differentiation, abT cell","T cell",6
"ALPHA-BETA T CELL DIFFERENTIATION","GLI3","GO:0046632","Adaptive","Cellular","Differentiation, abT cell","T cell",6
"ALPHA-BETA T CELL DIFFERENTIATION","ADA","GO:0046632","Adaptive","Cellular","Differentiation, abT cell","T cell",6
"ALPHA-BETA T CELL DIFFERENTIATION","ABL1","GO:0046632","Adaptive","Cellular","Differentiation, abT cell","T cell",6
"ALPHA-BETA T CELL DIFFERENTIATION","ZAP70","GO:0046632","Adaptive","Cellular","Differentiation, abT cell","T cell",6
"ALPHA-BETA T CELL LINEAGE COMMITMENT","RHOA","GO:0002363","Adaptive","Cellular","Lineage commitment, abT cell","T cell",1
"ALPHA-BETA T CELL PROLIFERATION","CLEC4G","GO:0046633","Adaptive","Cellular","Proliferation, abT cell","T cell",2
"ALPHA-BETA T CELL PROLIFERATION","PTPRC","GO:0046633","Adaptive","Cellular","Proliferation, abT cell","T cell",2
"ANTIBACTERIAL HUMORAL RESPONSE","HLA-E","GO:0019731","General","Humoral","Antibacterial humoral response","Undefined",28
"ANTIBACTERIAL HUMORAL RESPONSE","TAC1","GO:0019731","General","Humoral","Antibacterial humoral response","Undefined",28
"ANTIBACTERIAL HUMORAL RESPONSE","DEFA4","GO:0019731","General","Humoral","Antibacterial humoral response","Undefined",28
"ANTIBACTERIAL HUMORAL RESPONSE","B2M","GO:0019731","General","Humoral","Antibacterial humoral response","Undefined",28
"ANTIBACTERIAL HUMORAL RESPONSE","DEFB1","GO:0019731","General","Humoral","Antibacterial humoral response","Undefined",28
"ANTIBACTERIAL HUMORAL RESPONSE","SEMG2","GO:0019731","General","Humoral","Antibacterial humoral response","Undefined",28
"ANTIBACTERIAL HUMORAL RESPONSE","CAMP","GO:0019731","General","Humoral","Antibacterial humoral response","Undefined",28
"ANTIBACTERIAL HUMORAL RESPONSE","DEFA1","GO:0019731","General","Humoral","Antibacterial humoral response","Undefined",28
"ANTIBACTERIAL HUMORAL RESPONSE","H2BC10","GO:0019731","General","Humoral","Antibacterial humoral response","Undefined",28
"ANTIBACTERIAL HUMORAL RESPONSE","DEFA3","GO:0019731","General","Humoral","Antibacterial humoral response","Undefined",28
"ANTIBACTERIAL HUMORAL RESPONSE","BPI","GO:0019731","General","Humoral","Antibacterial humoral response","Undefined",28
"ANTIBACTERIAL HUMORAL RESPONSE","RNASE3","GO:0019731","General","Humoral","Antibacterial humoral response","Undefined",28
"ANTIBACTERIAL HUMORAL RESPONSE","RNASE4","GO:0019731","General","Humoral","Antibacterial humoral response","Undefined",28
"ANTIBACTERIAL HUMORAL RESPONSE","WFDC13","GO:0019731","General","Humoral","Antibacterial humoral response","Undefined",28
"ANTIBACTERIAL HUMORAL RESPONSE","CTSG","GO:0019731","General","Humoral","Antibacterial humoral response","Undefined",28
"ANTIBACTERIAL HUMORAL RESPONSE","DEFA6","GO:0019731","General","Humoral","Antibacterial humoral response","Undefined",28
"ANTIBACTERIAL HUMORAL RESPONSE","WFDC11","GO:0019731","General","Humoral","Antibacterial humoral response","Undefined",28
"ANTIBACTERIAL HUMORAL RESPONSE","H2BC12L","GO:0019731","General","Humoral","Antibacterial humoral response","Undefined",28
"ANTIBACTERIAL HUMORAL RESPONSE","RPL39","GO:0019731","General","Humoral","Antibacterial humoral response","Undefined",28
"ANTIBACTERIAL HUMORAL RESPONSE","WFDC3","GO:0019731","General","Humoral","Antibacterial humoral response","Undefined",28
"ANTIBACTERIAL HUMORAL RESPONSE","PI3","GO:0019731","General","Humoral","Antibacterial humoral response","Undefined",28
"ANTIBACTERIAL HUMORAL RESPONSE","FAU","GO:0019731","General","Humoral","Antibacterial humoral response","Undefined",28
"ANTIBACTERIAL HUMORAL RESPONSE","DEFA5","GO:0019731","General","Humoral","Antibacterial humoral response","Undefined",28
"ANTIBACTERIAL HUMORAL RESPONSE","ADM","GO:0019731","General","Humoral","Antibacterial humoral response","Undefined",28
"ANTIBACTERIAL HUMORAL RESPONSE","WFDC9","GO:0019731","General","Humoral","Antibacterial humoral response","Undefined",28
"ANTIBACTERIAL HUMORAL RESPONSE","SPRR2A","GO:0019731","General","Humoral","Antibacterial humoral response","Undefined",28
"ANTIBACTERIAL HUMORAL RESPONSE","WFDC10B","GO:0019731","General","Humoral","Antibacterial humoral response","Undefined",28
"ANTIBACTERIAL HUMORAL RESPONSE","NCR3LG1","GO:0019731","General","Humoral","Antibacterial humoral response","Undefined",28
"ANTIBACTERIAL INNATE IMMUNE RESPONSE","TFEB","GO:0140367","Innate","Innate","Antibacterial innate immune response","Undefined",1
"ANTIBACTERIAL PEPTIDE BIOSYNTHETIC PROCESS","LGALS4","GO:0002780","Innate","Innate","Biosynthetic process, Antibacterial peptide","Undefined",1
"ANTIBODY-DEPENDENT CELLULAR CYTOTOXICITY","FCGR3A","GO:0001788","General","ADCC","ADCC","Undefined",2
"ANTIBODY-DEPENDENT CELLULAR CYTOTOXICITY","FCGR1A","GO:0001788","General","ADCC","ADCC","Undefined",2
"ANTIFUNGAL HUMORAL RESPONSE","FAM3A","GO:0019732","General","Humoral","Antifungal humoral response","Antimicrobial",4
"ANTIFUNGAL HUMORAL RESPONSE","TAC1","GO:0019732","General","Humoral","Antifungal humoral response","Antimicrobial",4
"ANTIFUNGAL HUMORAL RESPONSE","DEFA4","GO:0019732","General","Humoral","Antifungal humoral response","Antimicrobial",4
"ANTIFUNGAL HUMORAL RESPONSE","CAMP","GO:0019732","General","Humoral","Antifungal humoral response","Antimicrobial",4
"ANTIFUNGAL INNATE IMMUNE RESPONSE","CX3CR1","GO:0061760","Innate","Antifungal","Antifungal innate immune response","Undefined",6
"ANTIFUNGAL INNATE IMMUNE RESPONSE","CLEC6A","GO:0061760","Innate","Antifungal","Antifungal innate immune response","Undefined",6
"ANTIFUNGAL INNATE IMMUNE RESPONSE","PLCG2","GO:0061760","Innate","Antifungal","Antifungal innate immune response","Undefined",6
"ANTIFUNGAL INNATE IMMUNE RESPONSE","BCL10","GO:0061760","Innate","Antifungal","Antifungal innate immune response","Undefined",6
"ANTIFUNGAL INNATE IMMUNE RESPONSE","DEFB119","GO:0061760","Innate","Antifungal","Antifungal innate immune response","Undefined",6
"ANTIFUNGAL INNATE IMMUNE RESPONSE","DEFB106A","GO:0061760","Innate","Antifungal","Antifungal innate immune response","Undefined",6
"ANTIGEN PROCESSING AND PRESENTATION","HLA-DRB4","GO:0019882","Innate","APP","APP","All",20
"ANTIGEN PROCESSING AND PRESENTATION","RAB27A","GO:0019882","Innate","APP","APP","All",20
"ANTIGEN PROCESSING AND PRESENTATION","HLA-DRB3","GO:0019882","Innate","APP","APP","All",20
"ANTIGEN PROCESSING AND PRESENTATION","HLA-DMA","GO:0019882","Innate","APP","APP","All",20
"ANTIGEN PROCESSING AND PRESENTATION","HLA-DOB","GO:0019882","Innate","APP","APP","All",20
"ANTIGEN PROCESSING AND PRESENTATION","CTSH","GO:0019882","Innate","APP","APP","All",20
"ANTIGEN PROCESSING AND PRESENTATION","RELB","GO:0019882","Innate","APP","APP","All",20
"ANTIGEN PROCESSING AND PRESENTATION","AP3B1","GO:0019882","Innate","APP","APP","All",20
"ANTIGEN PROCESSING AND PRESENTATION","CTSS","GO:0019882","Innate","APP","APP","All",20
"ANTIGEN PROCESSING AND PRESENTATION","HLA-DMB","GO:0019882","Innate","APP","APP","All",20
"ANTIGEN PROCESSING AND PRESENTATION","HLA-DPA1","GO:0019882","Innate","APP","APP","All",20
"ANTIGEN PROCESSING AND PRESENTATION","RAB4A","GO:0019882","Innate","APP","APP","All",20
"ANTIGEN PROCESSING AND PRESENTATION","HLA-E","GO:0019882","Innate","APP","APP","All",20
"ANTIGEN PROCESSING AND PRESENTATION","PSMB8","GO:0019882","Innate","APP","APP","All",20
"ANTIGEN PROCESSING AND PRESENTATION","RAB5B","GO:0019882","Innate","APP","APP","All",20
"ANTIGEN PROCESSING AND PRESENTATION","HLA-C","GO:0019882","Innate","APP","APP","All",20
"ANTIGEN PROCESSING AND PRESENTATION","WDFY4","GO:0019882","Innate","APP","APP","All",20
"ANTIGEN PROCESSING AND PRESENTATION","RAB3B","GO:0019882","Innate","APP","APP","All",20
"ANTIGEN PROCESSING AND PRESENTATION","RAB10","GO:0019882","Innate","APP","APP","All",20
"ANTIGEN PROCESSING AND PRESENTATION","RAB6A","GO:0019882","Innate","APP","APP","All",20
"ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I","TAP2","GO:0019885","Innate","APP","APP, MHC I, endogenous peptide","All",5
"ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I","TAP1","GO:0019885","Innate","APP","APP, MHC I, endogenous peptide","All",5
"ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I","ERAP2","GO:0019885","Innate","APP","APP, MHC I, endogenous peptide","All",5
"ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I","B2M","GO:0019885","Innate","APP","APP, MHC I, endogenous peptide","All",5
"ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I","IDE","GO:0019885","Innate","APP","APP, MHC I, endogenous peptide","All",5
"ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I VIA ER PATHWAY, TAP-DEPENDENT","TAP2","GO:0002485","Innate","APP","APP, MHC I, endogenous peptide, TAP-dependent","All",1
"ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I VIA ER PATHWAY, TAP-INDEPENDENT","HLA-E","GO:0002486","Innate","APP","APP, MHC I, endogenous peptide, TAP-independent","All",6
"ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I VIA ER PATHWAY, TAP-INDEPENDENT","RAET1L","GO:0002486","Innate","APP","APP, MHC I, endogenous peptide, TAP-independent","All",6
"ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I VIA ER PATHWAY, TAP-INDEPENDENT","RAET1G","GO:0002486","Innate","APP","APP, MHC I, endogenous peptide, TAP-independent","All",6
"ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I VIA ER PATHWAY, TAP-INDEPENDENT","HLA-C","GO:0002486","Innate","APP","APP, MHC I, endogenous peptide, TAP-independent","All",6
"ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I VIA ER PATHWAY, TAP-INDEPENDENT","HLA-G","GO:0002486","Innate","APP","APP, MHC I, endogenous peptide, TAP-independent","All",6
"ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS I VIA ER PATHWAY, TAP-INDEPENDENT","HLA-F","GO:0002486","Innate","APP","APP, MHC I, endogenous peptide, TAP-independent","All",6
"ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS IB","HLA-C","GO:0002476","Innate","APP","APP, MHC IB, endogenous peptide","All",6
"ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS IB","HLA-F","GO:0002476","Innate","APP","APP, MHC IB, endogenous peptide","All",6
"ANTIGEN PROCESSING AND PRESENTATION OF ENDOGENOUS PEPTIDE ANTIGEN VIA MHC CLASS IB","RAET1G","GO:0002476","Innate","APP","APP, MHC IB, endogenous peptide","All",6
